,title,icon_prize,average_price,users_rate,number_reviews,street,address_formatted,lat,lon
5011,La Bodeguita del Poble,,Dinner,2.5,,"Avinguda Marques de Comillas, 13","Catalonia, Spain",41.66667,2.0
5012,Cafeparis,,Spanish,4.0,,Floridablanca 102,"Floridablanca, carrer de Floridablanca, 08914 Badalona, Spain",41.4408541,2.2255462
5013,TinGana,,€20 - €30,3.5,,"Carrer D'Enric Granados, 149","Carrer d'Enric Granados, 149, Barcelona, Spain",41.3943389,2.1533741
5014,Restaurante La Vida,,€8 - €120,3.0,,"Paseo joan de borbo, 31, Bajos","Catalonia, Spain",41.66667,2.0
5015,Deleit Sushi Sants,,Sushi,3.0,,"Carrer de la Creu Coberta, 50","Carrer de la Creu Coberta, 8015 Barcelona, Spain",41.3750783,2.1482657
5016,Restaurante Mango,,"Seafood, Spanish, Mediterranean, European",3.0,,Maritim,"Maritim, Passeig Marítim, 08380 Malgrat de Mar, Spain",41.6398658,2.7361958
5017,Taverne Del Besbe Barcelone,,Gastropub,3.0,,Via laiteniana barcelona,"Barcelona, Catalonia, Spain",41.38879,2.15899
5018,Adlivitum,,Spanish,2.5,,"Carrer Diputacio, 319","Carrer Diputacio, 08780 el Papiol, Spain",41.4399999,2.0118282
5019,Restaurante La Granja Biologica,,,2.5,,"Sant Eusebi, 64","Carrer de Sant Eusebi, 08006 Barcelona, Spain",41.4017157,2.1496863
5020,Cafe De La Radio,,,2.5,,"Carrer Casp, 45","Carrer de Casp, 08013 Barcelona, Spain",41.3974988,2.1815631
5021,Panaria Ricart 24-26,,€3 - €6,3.0,,"Carrer Ricart 24-26, 08930, Sant Adrian de Besos. Barcelona","Besòs, Catalonia, Spain",41.421,2.20974
5023,Vins & teka,,€3 - €22,4.5,,Diagonal Avenue 460,"Diagonal, Passeig de Gràcia, 08008 Barcelona, Spain",41.3955498,2.1604573
5024,Panchito,,€15 - €30,3.0,,"C/ Espalter, 1","Carrer de Joaquim Espalter, 08870 Sitges, Spain",41.2364768,1.8057571
5025,Ca La Yaya,,Spanish,3.5,,"Carrer De Valencia, 59","Carrer de València, 59, 08088 Barcelona, Spain",41.3826074,2.1495797
5026,Mediterraneo Restaurante,,"Moroccan, Mediterranean",3.0,,Carrer Hopital 101 a,"Catalonia, Spain",41.66667,2.0
5027,Santisimo Agave,,€10 - €20,3.0,,"Viladomat, 49","Viladomat, Plaça de l'Ajuntament, 08698 la Nou de Berguedà, Spain",42.1671835,1.884449
5028,Atrapatapa Bar de Tapas,,Spanish,2.5,,"Urgell, 77","Urgell, Ronda de Sant Antoni, 08011 Barcelona, Spain",41.3789998,2.1630139
5029,Divan,,Reservations,3.0,,Av. de Gaudi,"Avinguda de Gaudí, Barcelona, Spain",41.4070281,2.1744033
